Component,Type,Version in Repo,OpenStack Software Version,Latest Upstream Version,OpenStack Release Name,Compatibility,Recommended Upstream,Source Path,Notes,Comments,OpenStack Version (Numeric)
{get_param,generic-image, image_name,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,testing/build.yaml,Image: {get_param,,Unknown
type,generic-image, string,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,testing/single.yaml,Image: type,,Unknown
{ get_param,generic-image, image,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,testing/single.yaml,Image: { get_param,,Unknown
tag,generic-image, v0.26.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,,Unknown
tag,generic-image, v2.49.1,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,,Unknown
tag,generic-image, v0.34.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-prometheus-stack/kube-prometheus-stack-helm-overrides.yaml,Image: tag,,Unknown
repository,generic-image, quay.io/prometheus/pushgateway,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-pushgateway/values.yaml,Image: repository,,Unknown
oauth-proxy,generic-image,v1.1.0,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-pushgateway/values.yaml,Image: openshift/oauth-proxy,,Unknown
## @param image.registry [default,generic-image, REGISTRY_NAME],Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-kube-event-exporter/values.yaml,Image: ## @param image.registry [default,,Unknown
enabled,generic-image, true,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/ironic/ironic-helm-overrides.yaml,Image: enabled,,Unknown
registry,generic-image, docker.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,,Unknown
registry,generic-image, docker.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,,Unknown
registry,generic-image, docker.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/memcached/memcached-helm-overrides.yaml,Image: registry,,Unknown
registry,generic-image, quay.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-mysql-exporter/values.yaml,Image: registry,,Unknown
repo,generic-image," ""gcr.io/cloud-sql-connectors/cloud-sql-proxy""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-mysql-exporter/values.yaml,Image: repo,,Unknown
pullPolicy,generic-image, IfNotPresent,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/kube-ovn/kube-ovn-helm-overrides.yaml,Image: pullPolicy,,Unknown
repository,generic-image, ghcr.io/openstack-exporter/openstack-exporter,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/monitoring/openstack-metrics-exporter/openstack-metrics-exporter-helm-overrides.yaml,Image: repository,,Unknown
tag,generic-image," ""10.3.3""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/grafana/grafana-helm-overrides.yaml,Image: tag,,Unknown
registry,generic-image, quay.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/prometheus-postgres-exporter/values.yaml,Image: registry,,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,,Unknown
repository,generic-image, ghcr.io/mariadb-operator/mariadb-operator,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/mariadb-operator/mariadb-operator-helm-overrides.yaml,Image: repository,,Unknown
registry,generic-image, ghcr.io,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image: registry,,Unknown
spilo-16,generic-image,3.2-p3,Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,Image: ghcr.io/zalando/spilo-16,,Unknown
logical-backup,generic-image,"v1.12.2""",Unknown,N/A (requires registry access),Unknown,Unknown,Unknown,base-helm-configs/postgres-operator/postgres-operator-helm-overrides.yaml,"Image: ""ghcr.io/zalando/postgres-operator/logical-backup",,Unknown
